incident_number,call_type,call_type_group,call_time,Street,call_origin,mental_health,drug_related,dv_related,alcohol_related,Area,AreaName,Latitude,Longitude,WARD,DISTRICT,type_level
19BU019288,Noise,Quality of Life,9/2/19 2:45,Church St,Phone,0,0,0,0,D,Downtown,44.47616389,-73.21428319,6,South,Type 1
19BU019289,Mental Health Issue,Public Service,9/2/19 3:31,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48249832,-73.22158337,3,Central,Type 2
19BU019290,Alarm,Public Service,9/2/19 5:31,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.44923325,-73.20852675,5,South,Type 2
19BU019291,Crash - Property damage only,Motor Vehicle,9/2/19 5:50,East Ave/Main St,911,0,0,0,0,C,UniversityHillSection,44.47224338,-73.19291709,1,East,NA
19BU019292,Assist - Agency,Assist,9/2/19 6:29,Airport Dr,Officer/Radio,0,0,0,0,NA,NA,44.46747619,-73.15490157,NA,NA,Type 2
19BU019293,Assist - Agency,Assist,9/2/19 6:48,St Paul St,911,0,1,0,0,E,SouthEnd,44.46765837,-73.20761612,6,South,Type 2
19BU019294,Vandalism,Property,9/2/19 7:50,Church St,Phone,0,0,0,0,D,Downtown,44.4774628,-73.21284808,3,Central,Type 1
19BU019295,Operations,Administrative,9/2/19 8:07,Church St/Main St,Phone,0,0,0,0,D,Downtown,44.4744312,-73.2122136,3,Central,Type 1
19BU019296,Larceny - from Motor Vehicle,Property,9/2/19 9:01,S Willard St,Phone,0,0,0,0,E,SouthEnd,44.4736859,-73.20739869,6,South,Type 1
19BU019297,Disturbance,Quality of Life,9/2/19 9:07,Pearl St,911,0,1,0,0,B,OldNorthEnd,44.47994608,-73.21568233,3,Central,Type 2
19BU019298,Vandalism,Property,9/2/19 9:47,Maple St,Phone,0,0,0,0,D,Downtown,44.47450225,-73.20889494,6,South,Type 1
19BU019299,Vandalism,Property,9/2/19 9:52,Pearl St,Phone,0,0,0,0,D,Downtown,44.48136797,-73.21050181,8,East,Type 1
19BU019300,Operations,Administrative,9/2/19 9:58,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48172831,-73.22138126,3,Central,Type 1
19BU019301,Assist - Public,Public Service,9/2/19 9:59,Pine St,Phone,0,0,0,0,D,Downtown,44.47759875,-73.21436638,3,Central,Type 1
19BU019302,Foot Patrol,Public Service,9/2/19 10:31,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47693779,-73.21220265,3,Central,Type 1
19BU019303,Crash - Non-Investigated,Motor Vehicle,9/2/19 10:55,Main St/Pine St,Phone,0,0,0,0,D,Downtown,44.47429091,-73.21393248,3,Central,NA
19BU019304,Foot Patrol,Public Service,9/2/19 11:01,Main St/Pine St,Officer/Radio,0,0,0,0,D,Downtown,44.47412078,-73.21565204,3,Central,Type 1
19BU019305,Assist - Public,Public Service,9/2/19 11:10,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48368272,-73.21937698,3,Central,Type 1
19BU019306,Alarm,Public Service,9/2/19 11:26,Elmwood Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48029828,-73.21482312,3,Central,Type 2
19BU019307,Alarm,Public Service,9/2/19 11:55,Cherry St,Phone,0,0,0,0,D,Downtown,44.48123442,-73.21872587,3,Central,Type 2
19BU019308,Welfare Check,Public Service,9/2/19 12:03,Rose St,Phone,0,0,0,0,B,OldNorthEnd,44.48779451,-73.21869173,3,Central,Type 2
19BU019309,Larceny - from Motor Vehicle,Property,9/2/19 12:37,Buell St,Phone,0,0,0,0,C,UniversityHillSection,44.48000727,-73.20961898,8,East,Type 1
19BU019310,Parking,Motor Vehicle,9/2/19 12:57,N Willard St,Phone,0,0,0,0,C,UniversityHillSection,44.48210853,-73.20469361,1,East,Type 1
19BU019311,Traffic,Motor Vehicle,9/2/19 13:52,N Prospect St/Pearl St,Phone,0,0,0,0,C,UniversityHillSection,44.47945196,-73.20195528,1,East,Type 1
19BU019312,Assist - Public,Public Service,9/2/19 13:55,College St,In Person,0,0,0,0,C,UniversityHillSection,44.47834662,-73.20224144,8,East,Type 1
19BU019313,Assist - Public,Public Service,9/2/19 13:57,Grant St,Phone,0,0,0,0,C,UniversityHillSection,44.48060413,-73.20986584,2,Central,Type 1
19BU019314,Foot Patrol,Public Service,9/2/19 14:00,Marketplace,Phone,0,0,0,0,D,Downtown,44.47692361,-73.21444091,3,Central,Type 1
19BU019315,Welfare Check,Public Service,9/2/19 14:35,Colchester Ave/S Prospect St,Phone,0,1,0,0,C,UniversityHillSection,44.48100118,-73.20241492,1,East,Type 2
19BU019316,Foot Patrol,Public Service,9/2/19 15:24,Marketplace,Phone,0,0,0,0,D,Downtown,44.47721356,-73.21115649,3,Central,Type 1
19BU019317,Suspicious Event,Public Service,9/2/19 15:27,Northgate Rd,911,0,0,0,0,Airport,NewNorthEnd,44.5183501,-73.26426052,4,North,Type 1
19BU019318,Mental Health Issue,Public Service,9/2/19 15:30,Pearl St,Phone,0,0,0,0,D,Downtown,44.47856588,-73.21094459,3,Central,Type 2
19BU019319,Larceny - from Motor Vehicle,Property,9/2/19 15:31,Shelburne Rd,911,0,0,0,0,E,SouthEnd,44.44682814,-73.20956195,5,South,Type 1
19BU019320,Crash - Property damage only,Motor Vehicle,9/2/19 15:38,Archibald St,Phone,0,0,0,0,NA,NA,44.55160314,-73.16881426,NA,NA,NA
19BU019321,Found/Lost Property,Public Service,9/2/19 15:57,College Street/Church Street,Phone,0,0,0,0,D,Downtown,44.47584343,-73.21247166,3,Central,Type 1
19BU019322,Crash - Property damage only,Motor Vehicle,9/2/19 17:48,Cherry St,911,0,0,0,0,D,Downtown,44.47852142,-73.21047375,3,Central,NA
19BU019323,Animal Problem,Animal,9/2/19 16:18,Church St,Phone,0,0,0,0,D,Downtown,44.4812197,-73.21444296,3,Central,Type 1
19BU019324,Found/Lost Property,Public Service,9/2/19 16:19,,Phone,0,0,0,0,C,UniversityHillSection,44.48309362,-73.18602456,1,East,Type 1
19BU019325,DLS,Motor Vehicle,9/2/19 16:32,S Winooski Ave / Bank St,Phone,0,1,0,0,D,Downtown,44.47716036,-73.21085517,8,East,Type 1
19BU019326,Welfare Check,Public Service,9/2/19 16:32,Main St,Phone,0,0,0,0,D,Downtown,44.47604198,-73.21116338,6,South,Type 2
19BU019327,Traffic,Motor Vehicle,9/2/19 16:36,N Willard St/Brookes Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48080379,-73.20490925,2,Central,Type 1
19BU019328,Found/Lost Property,Public Service,9/2/19 16:40,S Winooski Ave / College St,Phone,0,0,0,0,D,Downtown,44.47594865,-73.21079003,8,East,Type 1
19BU019329,Parking,Motor Vehicle,9/2/19 16:54,Fletcher Pl,Phone,0,0,0,0,C,UniversityHillSection,44.4815804,-73.19543526,1,East,Type 1
19BU019330,Assist - Public,Public Service,9/2/19 17:09,Shelburne Rd,911,0,0,0,0,E,SouthEnd,44.46404232,-73.20856316,5,South,Type 1
19BU019331,Welfare Check,Public Service,9/2/19 17:46,Salmon Hole / Riverside Ave,911,0,0,0,0,C,UniversityHillSection,44.48632848,-73.18734372,1,East,Type 2
19BU019332,Foot Patrol,Public Service,9/2/19 18:34,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47754999,-73.21220046,3,Central,Type 1
19BU019333,Assault - Simple,Assault,9/2/19 18:50,Pearl St,911,0,0,0,1,B,OldNorthEnd,44.48184503,-73.21223166,2,Central,Type 3
19BU019335,Threats/Harassment,Other,9/2/19 18:54,St Paul St,911,0,0,0,0,D,Downtown,44.4747155,-73.21453806,6,South,Type 2
19BU019336,Foot Patrol,Public Service,9/2/19 18:58,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47620313,-73.2127673,3,Central,Type 1
19BU019337,Suspicious Event,Public Service,9/2/19 19:18,N Williams St A,Phone,0,0,0,0,C,UniversityHillSection,44.4801618,-73.20281601,1,East,Type 1
19BU019338,Foot Patrol,Public Service,9/2/19 19:25,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47923912,-73.21341382,3,Central,Type 1
19BU019339,Suspicious Event,Public Service,9/2/19 19:47,N Winooski Ave,911,0,0,0,0,C,UniversityHillSection,44.48132457,-73.21217444,2,Central,Type 1
19BU019340,Disturbance,Quality of Life,9/2/19 19:51,S Winooski Ave,911,0,0,0,1,D,Downtown,44.47605049,-73.2123264,6,South,Type 2
19BU019341,Disturbance,Quality of Life,9/2/19 19:54,S Winooski Ave,911,0,0,0,1,D,Downtown,44.48042719,-73.2103566,8,East,Type 2
19BU019342,Animal Problem,Animal,9/2/19 20:18,Main St/S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.47765088,-73.21278275,3,Central,Type 1
19BU019343,Overdose,Drugs,9/2/19 21:04,Lafayette Pl,911,0,0,0,0,C,UniversityHillSection,44.47931866,-73.21176488,2,Central,Type 3
19BU019344,Noise,Quality of Life,9/2/19 22:41,S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.47662607,-73.21166534,6,South,Type 1
19BU019345,Crash - Property damage only,Motor Vehicle,9/2/19 23:13,North St/N Willard St,911,0,0,0,0,C,UniversityHillSection,44.48500125,-73.20633985,1,East,NA
19BU019346,Welfare Check,Public Service,9/3/19 0:04,Main St,Phone,0,0,0,0,E,SouthEnd,44.4741579,-73.2027968,6,South,Type 2
19BU019347,Suspicious Event,Public Service,9/3/19 0:24,Pine St,Phone,0,0,0,0,E,SouthEnd,44.45767979,-73.2150652,5,South,Type 1
19BU019348,Assist - Agency,Assist,9/3/19 1:18,King St/S Winooski Ave,Officer/Radio,0,0,0,1,D,Downtown,44.47509148,-73.21242901,6,South,Type 2
19BU019349,Violation of Conditions of Release,Court Order,9/3/19 1:35,King St/S Winooski Ave,Officer/Radio,0,0,0,0,D,Downtown,44.47421344,-73.21114318,6,South,Type 2
19BU019350,Assist - Agency,Assist,9/3/19 3:26,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48106299,-73.19426465,1,East,Type 2
19BU019351,911 Hangup,Other,9/3/19 3:44,Starr Farm Beach,Phone,0,0,0,0,Airport,NewNorthEnd,44.51029689,-73.27306588,4,North,Type 2
19BU019352,Assist - Agency,Assist,9/3/19 5:11,E Allen St,Officer/Radio,0,0,0,0,NA,NA,44.49118928,-73.18257998,NA,NA,Type 2
19BU019353,Alarm,Public Service,9/3/19 6:04,Pine St,Phone,0,0,0,0,E,SouthEnd,44.46983802,-73.21319094,5,South,Type 2
19BU019354,Parking,Motor Vehicle,9/3/19 6:52,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.484517,-73.18922521,1,East,Type 1
19BU019355,Assist - Other,Assist,9/3/19 7:19,North St / Blodgett St,Phone,0,1,0,0,Airport,OldNorthEnd,44.4833696,-73.22156426,3,Central,Type 1
19BU019356,Vandalism,Property,9/3/19 7:23,Intervale Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48491722,-73.21473438,2,Central,Type 1
19BU019357,Suspicious Event,Public Service,9/3/19 8:32,Intervale Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48989421,-73.20940683,2,Central,Type 1
19BU019358,Alarm,Public Service,9/3/19 8:42,Archibald St,Phone,0,0,0,0,B,OldNorthEnd,44.48788799,-73.20702413,2,Central,Type 2
19BU019359,Burglary,Property,9/3/19 8:43,Church St,Phone,0,0,0,0,D,Downtown,44.48016217,-73.21243546,3,Central,Type 2
19BU019360,Community Outreach,Public Service,9/3/19 8:48,Archibald St,Phone,0,0,0,0,C,UniversityHillSection,44.48878228,-73.20586615,2,Central,Type 1
19BU019361,Crash - Property damage only,Motor Vehicle,9/3/19 8:53,Shelburne Rd/Locust St,Phone,0,0,0,0,E,SouthEnd,44.4645227,-73.20800473,5,South,NA
19BU019362,Mental Health Issue,Public Service,9/3/19 8:59,Fairmont Pl,911,0,0,0,0,A,NewNorthEnd,44.51400192,-73.25191352,7,North,Type 2
19BU019363,VIN verification,Motor Vehicle,9/3/19 9:07,N Winooski Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48524794,-73.21001488,2,Central,Type 1
19BU019364,Found/Lost Property,Public Service,9/3/19 9:16,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48149781,-73.22134393,3,Central,Type 1
19BU019365,Assist – Motorist,Motor Vehicle,9/3/19 9:30,North Ave / Beltline,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.50088959,-73.2366252,4,North,NA
19BU019366,Larceny - Other,Property,9/3/19 9:42,N Winoosi Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48499772,-73.2102622,2,Central,Type 1
19BU019367,Crash - Injury to person(s),Motor Vehicle,9/3/19 9:45,North St / N Union St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48486607,-73.20944995,2,Central,NA
19BU019368,Noise,Quality of Life,9/3/19 10:05,Pearl St/Clarke St,Phone,0,0,0,0,B,OldNorthEnd,44.47966731,-73.21129421,2,Central,Type 1
19BU019369,Animal Problem,Animal,9/3/19 10:41,Ave B,Phone,0,0,0,0,A,NewNorthEnd,44.50758373,-73.24349933,7,North,Type 1
19BU019370,Animal Problem,Animal,9/3/19 11:09,Charlotte St,Phone,0,0,0,0,E,SouthEnd,44.4651637,-73.21114172,5,South,Type 1
19BU019371,Assist - Public,Public Service,9/3/19 11:13,Main St,Phone,0,0,0,0,D,Downtown,44.47574424,-73.21625123,3,Central,Type 1
19BU019372,Assist - Other,Assist,9/3/19 11:46,N Williams St,Phone,0,0,0,0,C,UniversityHillSection,44.48074434,-73.20374359,1,East,Type 1
19BU019373,Traffic,Motor Vehicle,9/3/19 12:41,Barrett St/Grove St,Phone,0,0,0,0,C,UniversityHillSection,44.48919761,-73.18441625,1,East,Type 1
19BU019374,Sexual Assault,Assault,9/3/19 12:44,NA,Phone,0,0,0,0,E,SouthEnd,NA,NA,5,South,Type 3
19BU019375,Suspicious Event,Public Service,9/3/19 13:02,Pine St,Phone,0,1,0,0,E,SouthEnd,44.46494846,-73.21250487,5,South,Type 1
19BU019376,Welfare Check,Public Service,9/3/19 13:19,Ave C,Officer/Radio,0,0,0,0,A,NewNorthEnd,44.50592614,-73.24274101,7,North,Type 2
